Location,Cat
Allen,Canada
BC01,Canada
BC02,Canada
BC03,Canada
BY10,Canada
BY15,Canada
BY17,Canada
BY18,Canada
CI01,Canada
CI07,Canada
CI08,Canada
CI14,Canada
CI15,Canada
CI16,Canada
CI17,Canada
CI18,Canada
CI22,Canada
CI23,Canada
CI25,Canada
CI26b,Canada
CI27,Canada
CI31,Canada
CI32,Canada
CI33,Canada
Coal,Canada
CR01,Canada
CR02,Canada
CR04,Canada
CV01,Canada
CV02,Canada
CV03,Canada
CV04,Canada
DUO,Canada
DV02,Canada
DV04,Canada
DV05,Canada
DV08,Canada
DV09,Canada
E501,Canada
E503,Canada
E504,Canada
E505,Canada
E506,Canada
E508,Canada
E510,Canada
E511,Canada
E515,Canada
E516,Canada
HW01,Canada
HW02,Canada
HW03,Canada
HW05,Canada
HW07,Canada
HW08,Canada
IQ01,Canada
IQ02,Canada
IQ03,Canada
IQ04,Canada
IQ05,Canada
IQ06,Canada
JR05,Canada
JR06,Canada
KR01,Canada
KR02,Canada
KR04,Canada
KR06,Canada
KR07,Canada
KR08,Canada
MB01,Canada
MB02,Canada
MB03,Canada
MR01,Canada
MR02,Canada
RB01,Canada
RB14,Canada
RB17,Canada
RB02,Canada
RB04,Canada
RB07,Canada
QB01,Canada
QB06,Canada
QB07,Canada
QB15,Canada
Ridge,Canada
SL01,Canada
SL02,Canada
SL03,Canada
SL04,Canada
SL05,Canada
SL06,Canada
SP02,Canada
SP04,Canada
TwoBasin,Canada
WB02,Canada
WB04,Canada
WB05,Canada
WB06,Canada
Wolf,Canada
G1,Greenland
G2,Greenland
G5,Greenland
G8,Greenland
G7,Greenland
G24,Greenland
G9,Greenland
G16A,Greenland
G18,Greenland
G19,Greenland
G20B,Greenland
G17,Greenland
G35,Greenland
G13,Greenland
G21,Greenland
G12A,Greenland
G14,Greenland
G21A,Greenland
G14A,Greenland
G29,Greenland
G29A,Greenland
G27,Greenland
G25A,Greenland
G30,Greenland
G28,Greenland
Myrah1,Iceland
Myrah2,Iceland
Gjogur,Iceland
Finbog,Iceland
Thidri,Iceland
Hrof,Iceland
Fitja,Iceland
Reidgo,Iceland
Ogmund,Iceland
Nord1,Iceland
Marg,Iceland
Nord2,Iceland
Eyrar,Iceland
Efst,Iceland
Lauga,Iceland
Mjolk2,Iceland
Pverd,Iceland
Djup1,Iceland
Djup2,Iceland
FremGu,Iceland
Hogna,Iceland
Porsk1,Iceland
Holm1,Iceland
Holm2,Iceland
Midal1,Iceland
Midal2,Iceland
Porsk2,Iceland
Bjark,Iceland
MidhE,Iceland
MidhW,Iceland
KrokL,Iceland
Krokav,Iceland
Stein,Iceland
Hauka,Iceland
Holmla,Iceland
Svinav,Iceland
Helga,Iceland
Torfa,Iceland
Oddas,Iceland
Kring,Iceland
Vala,Iceland
Mula,Iceland
Skjald,Iceland
Nesvog,Iceland
Saura,Iceland
Baular,Iceland
Langa,Iceland
Hlidar,Iceland
Vatns,Iceland
Krok G,Iceland
Dynja,Iceland
SvinAf,Iceland
Sydra,Iceland
SS01,Greenland
SS02,Greenland
SS03,Greenland
SS05,Greenland
SS06,Greenland
SS07,Greenland
SS09,Greenland
SS10,Greenland
SS11,Greenland
SS12,Greenland
SS13,Greenland
SS15,Greenland
SS17,Greenland
SS19,Greenland
SS20,Greenland
SS21,Greenland
SS22,Greenland
SS24,Greenland
SS25,Greenland
SS32,Greenland
SS41,Greenland
SS43,Greenland
SS45,Greenland
SS47,Greenland
SS48,Greenland
SS49,Greenland
SS50,Greenland
SS51,Greenland
SS52,Greenland
SS53,Greenland
SS54,Greenland
SS71,Greenland
SS74,Greenland
SS75,Greenland
SS76,Greenland
SS77,Greenland
SS78,Greenland
SS85,Greenland
CH01,Canada
CH02,Canada
CH03,Canada
CH04,Canada
CH05,Canada
CH06,Canada
CH08,Canada
CH09,Canada
AV01,Canada
AV03,Canada
AV04,Canada
AV05,Canada
AV06,Canada
AV11,Canada
AV09,Canada
AV07,Canada
RI17,Canada
RI21,Canada
RI20,Canada
RI15,Canada
RI08,Canada
RI13,Canada
RI16,Canada
RI10,Canada
RI05,Canada
RI06,Canada
R0I4,Canada
RI11,Canada
RI02,Canada
BL01,Canada
BL02,Canada
BL11,Canada
BL17,Canada
BL35,Canada
BL06,Canada
BL16,Canada
BY14,Canada
BY16,Canada
T02,Canada
T15,Canada
MBESCH,Canada
FISH,Canada
INSTAAR,Canada
MERCER,Canada
PHALR,Canada
B2,Canada
B3,Canada
B4,Canada
B10,Canada
B11,Canada
B13,Canada
B16,Canada
B17,Canada
B18,Canada
B22,Canada
B23,Canada
B25,Canada
B26,Canada
B30,Canada
B34,Canada
B37,Canada
B38,Canada
B41,Canada
B42,Canada
B48,Canada
B50,Canada
B51,Canada
B52,Canada
B53,Canada
B55,Canada
B56,Canada
B58,Canada
B59,Canada
B60,Canada
L01,Canada
L02,Canada
L03,Canada
L10,Canada
L14,Canada
L16,Canada
L17,Canada
L20,Canada
L22,Canada
L28,Canada
L29,Canada
L34,Canada
L35,Canada
L36,Canada
L41,Canada
L42,Canada
L43,Canada
L45,Canada
L46,Canada
L50,Canada
L54,Canada
L56,Canada
L58,Canada
L61,Canada
L64,Canada
VI-04-01,Canada
VI-04-02,Canada
VI-04-03,Canada
VI-04-04,Canada
VI-04-05,Canada
VI-04-06,Canada
VI-04-07,Canada
VI-04-08,Canada
VI-04-09,Canada
VI-04-10,Canada
VI-04-11,Canada
VI-04-12,Canada
VI-04-13,Canada
VI-04-14,Canada
VI-04-15,Canada
VI-04-16,Canada
VI-04-17,Canada
VI-04-18,Canada
VI-04-19,Canada
VI-04-20,Canada
VI-04-21,Canada
VI-04-22,Canada
VI-04-23,Canada
VI-04-24,Canada
VI-04-25,Canada
VI-04-26,Canada
VI-04-27,Canada
VI-04-28,Canada
VI-04-29,Canada
VI-04-31,Canada
VI-04-32,Canada
VI-04-33,Canada
VI-04-34,Canada
VI-04-35,Canada
VI-04-36,Canada
VI-04-37,Canada
VI-04-38,Canada
VI-04-39,Canada
VI-04-40,Canada
VI-04-41,Canada
VI-04-42,Canada
