"","Cat","sums"
"Allen","Canada",73
"BC02","Canada",57
"BC03","Canada",46.5
"BY10","Canada",63
"BY15","Canada",145.5
"BY17","Canada",155.5
"BY18","Canada",86
"CI01","Canada",141.5
"CI07","Canada",103.5
"CI08","Canada",50.5
"CI14","Canada",105.5
"CI15","Canada",194.5
"CI16","Canada",69
"CI17","Canada",165
"CI18","Canada",141
"CI22","Canada",78.5
"CI23","Canada",50.5
"CI25","Canada",224
"CI26b","Canada",126
"CI27","Canada",69
"CI31","Canada",140
"CI32","Canada",88
"CI33","Canada",118.5
"Coal","Canada",90
"CR01","Canada",191.5
"CR02","Canada",94
"CR04","Canada",184.5
"CV01","Canada",72.5
"CV02","Canada",160
"CV03","Canada",85
"CV04","Canada",94
"DUO","Canada",80.5
"DV02","Canada",51
"DV04","Canada",74.5
"DV05","Canada",83
"DV09","Canada",104.5
"E501","Canada",59
"E503","Canada",87.5
"E504","Canada",145.5
"E505","Canada",53
"E506","Canada",41.5
"E508","Canada",335.5
"E510","Canada",243
"E511","Canada",42.5
"E516","Canada",115
"HW01","Canada",61
"HW03","Canada",62
"HW05","Canada",43
"HW07","Canada",70.5
"HW08","Canada",105.5
"IQ01","Canada",88.5
"IQ02","Canada",51.5
"IQ03","Canada",66.5
"IQ04","Canada",54.5
"IQ05","Canada",55.5
"IQ06","Canada",82
"JR05","Canada",67
"JR06","Canada",121.5
"KR01","Canada",67.5
"KR02","Canada",72.5
"KR04","Canada",197
"KR06","Canada",54.5
"KR07","Canada",53
"MB01","Canada",54
"MB02","Canada",50
"MB03","Canada",100.5
"MR02","Canada",174.5
"RB01","Canada",81.5
"RB14","Canada",62.5
"RB17","Canada",88.5
"RB02","Canada",80
"RB04","Canada",67
"RB07","Canada",228
"QB01","Canada",50.5
"QB06","Canada",61
"QB07","Canada",75
"QB15","Canada",102
"Ridge","Canada",68
"SL01","Canada",91
"SL02","Canada",64
"SL03","Canada",66
"SL04","Canada",52
"SL05","Canada",79.5
"SL06","Canada",197.5
"SP02","Canada",103
"SP04","Canada",93.5
"TwoBasin","Canada",110
"WB02","Canada",68
"WB04","Canada",111
"WB05","Canada",62.5
"WB06","Canada",52
"Wolf","Canada",70
"G1","Greenland",84
"G2","Greenland",98
"G5","Greenland",160
"G8","Greenland",88.5
"G7","Greenland",85.5
"G24","Greenland",117
"G9","Greenland",98.5
"G16A","Greenland",240.5
"G18","Greenland",105.5
"G19","Greenland",59.5
"G20B","Greenland",59.5
"G17","Greenland",106.5
"G35","Greenland",198
"G13","Greenland",279.5
"G21","Greenland",132.5
"G12A","Greenland",82.5
"G14","Greenland",126.5
"G21A","Greenland",90.5
"G14A","Greenland",268.5
"G29","Greenland",79.5
"G29A","Greenland",255
"G27","Greenland",77
"G25A","Greenland",188
"G30","Greenland",133
"G28","Greenland",78
"Myrah1","Iceland",62
"Myrah2","Iceland",61
"Gjogur","Iceland",88.5
"Finbog","Iceland",52.5
"Thidri","Iceland",50
"Hrof","Iceland",117
"Fitja","Iceland",53.5
"Reidgo","Iceland",244
"Ogmund","Iceland",58
"Nord1","Iceland",58.5
"Marg","Iceland",174
"Nord2","Iceland",85.5
"Eyrar","Iceland",210.5
"Efst","Iceland",79.5
"Lauga","Iceland",145
"Mjolk2","Iceland",100.5
"Pverd","Iceland",53
"Djup1","Iceland",61.5
"Djup2","Iceland",146.5
"FremGu","Iceland",117
"Hogna","Iceland",126.5
"Porsk1","Iceland",129
"Holm1","Iceland",67
"Holm2","Iceland",75.5
"Midal1","Iceland",67.5
"Midal2","Iceland",62
"Porsk2","Iceland",180.5
"Bjark","Iceland",101.5
"MidhE","Iceland",133
"MidhW","Iceland",143
"KrokL","Iceland",109
"Krokav","Iceland",136
"Stein","Iceland",66
"Hauka","Iceland",76
"Holmla","Iceland",66
"Svinav","Iceland",108.5
"Helga","Iceland",98.5
"Torfa","Iceland",209
"Oddas","Iceland",73.5
"Kring","Iceland",55.5
"Vala","Iceland",58
"Mula","Iceland",122.5
"Skjald","Iceland",121.5
"Nesvog","Iceland",78.5
"Saura","Iceland",111.5
"Baular","Iceland",125
"Langa","Iceland",111.5
"Hlidar","Iceland",64
"Vatns","Iceland",101
"Krok G","Iceland",64.5
"Dynja","Iceland",136.5
"SvinAf","Iceland",66.5
"Sydra","Iceland",160.5
"SS01","Greenland",182
"SS02","Greenland",97
"SS03","Greenland",178
"SS05","Greenland",78
"SS06","Greenland",81
"SS07","Greenland",121
"SS09","Greenland",262
"SS10","Greenland",136
"SS11","Greenland",150
"SS12","Greenland",84
"SS13","Greenland",137
"SS15","Greenland",48
"SS17","Greenland",189
"SS19","Greenland",111
"SS20","Greenland",185
"SS21","Greenland",157
"SS22","Greenland",107
"SS24","Greenland",307
"SS25","Greenland",100
"SS32","Greenland",141
"SS41","Greenland",179
"SS43","Greenland",110
"SS45","Greenland",139
"SS47","Greenland",230
"SS48","Greenland",60
"SS49","Greenland",152
"SS51","Greenland",86
"SS52","Greenland",209
"SS53","Greenland",81
"SS54","Greenland",47
"SS71","Greenland",177
"SS74","Greenland",203
"SS75","Greenland",42
"SS76","Greenland",208
"SS77","Greenland",101
"SS78","Greenland",139
"SS85","Greenland",44
"CH01","Canada",93.5
"CH02","Canada",51.5
"CH03","Canada",67.5
"CH04","Canada",113.5
"CH05","Canada",179
"CH06","Canada",162.5
"CH08","Canada",87
"CH09","Canada",82
"AV01","Canada",81
"AV03","Canada",50
"AV04","Canada",80
"AV05","Canada",49.5
"AV06","Canada",84.5
"AV11","Canada",63
"AV09","Canada",370
"AV07","Canada",50
"RI17","Canada",49.5
"RI21","Canada",177
"RI20","Canada",125
"RI15","Canada",134.5
"RI08","Canada",80
"RI13","Canada",79.5
"RI16","Canada",75
"RI10","Canada",57
"RI05","Canada",84.5
"RI06","Canada",66
"R0I4","Canada",165.5
"RI11","Canada",58
"RI02","Canada",264.5
"BL01","Canada",61
"BL02","Canada",90.5
"BL11","Canada",58.5
"BL17","Canada",70.5
"BL35","Canada",57
"BL06","Canada",52
"BL16","Canada",53.5
"BY14","Canada",316.5
"BY16","Canada",302.5
"T02","Canada",60.5
"T15","Canada",70.5
"MBESCH","Canada",89.5
"FISH","Canada",57.5
"INSTAAR","Canada",117
"MERCER","Canada",104
"PHALR","Canada",83.5
"B2","Canada",315.5
"B3","Canada",50
"B4","Canada",82.5
"B10","Canada",97
"B11","Canada",67
"B13","Canada",69.5
"B16","Canada",42
"B17","Canada",130
"B18","Canada",160.5
"B22","Canada",102
"B23","Canada",73
"B25","Canada",89
"B30","Canada",103.5
"B34","Canada",99.5
"B37","Canada",54.5
"B38","Canada",89
"B41","Canada",100.5
"B42","Canada",85.5
"B48","Canada",135.5
"B50","Canada",54
"B51","Canada",110
"B52","Canada",78
"B53","Canada",158.5
"B55","Canada",43
"B56","Canada",114.5
"B58","Canada",231
"B59","Canada",95.5
"B60","Canada",57.5
"L01","Canada",81
"L02","Canada",73.5
"L03","Canada",77.5
"L10","Canada",109
"L14","Canada",180
"L16","Canada",217.5
"L17","Canada",152.5
"L20","Canada",199.5
"L22","Canada",63.5
"L28","Canada",95
"L29","Canada",52
"L34","Canada",76
"L35","Canada",69
"L36","Canada",70
"L41","Canada",81.5
"L42","Canada",81.5
"L43","Canada",64
"L45","Canada",56
"L46","Canada",58.5
"L50","Canada",172
"L54","Canada",193.5
"L56","Canada",210
"L58","Canada",154
"L61","Canada",165
"L64","Canada",65.5
"VI-04-01","Canada",59
"VI-04-02","Canada",43.5
"VI-04-03","Canada",79.5
"VI-04-04","Canada",64
"VI-04-05","Canada",48.5
"VI-04-06","Canada",187.5
"VI-04-07","Canada",54
"VI-04-08","Canada",74
"VI-04-09","Canada",64.5
"VI-04-10","Canada",157
"VI-04-11","Canada",68.5
"VI-04-12","Canada",75
"VI-04-13","Canada",54.5
"VI-04-14","Canada",61
"VI-04-15","Canada",60.5
"VI-04-16","Canada",77
"VI-04-17","Canada",92.5
"VI-04-18","Canada",60.5
"VI-04-19","Canada",60.5
"VI-04-20","Canada",130
"VI-04-21","Canada",48
"VI-04-22","Canada",70
"VI-04-23","Canada",55.5
"VI-04-24","Canada",59.5
"VI-04-25","Canada",50
"VI-04-26","Canada",66
"VI-04-27","Canada",51
"VI-04-28","Canada",52.5
"VI-04-29","Canada",51.5
"VI-04-31","Canada",49.5
"VI-04-32","Canada",52
"VI-04-33","Canada",71.5
"VI-04-34","Canada",59
"VI-04-35","Canada",63.5
"VI-04-36","Canada",52
"VI-04-37","Canada",78.5
"VI-04-38","Canada",52.5
"VI-04-39","Canada",59
"VI-04-40","Canada",56
"VI-04-41","Canada",51
"VI-04-42","Canada",55.5
"VI-04-43","Canada",68
"VI-04-44","Canada",56.5
"VI-04-45","Canada",62
"VI-04-46","Canada",55.5
"VI-04-47","Canada",62.5
"VI-04-48","Canada",62.5
"VI-04-49","Canada",56
"VI-04-50","Canada",58.5
