Location,Lat,Long,WC_TEMP,WC_SUMMER,WC_PREC,Jan,Feb,Mar,Apr,May,June,July,Aug,Sep,Oct,Nov,Dec,MEAN,SumT,Depth,Elev
Allen,73.583,-98.417,-17.3,1.6,11.7,-33.6,-34.6,-32.4,-24.4,-11.5,-0.9,4.1,2,-4.9,-15.3,-25.3,-30.4,-17.26666667,3.05,4,131
BC01,75.25,-111.917,-18.6,0.6,8.7,-33.7,-35.3,-33.4,-25.8,-12.5,-1.2,3.3,1.2,-5.6,-16.2,-26.3,-31,-18.04166667,2.25,11.3,131
BC02,75.25,-111.917,-18.6,0.6,8.7,-33.7,-35.3,-33.4,-25.8,-12.5,-1.2,3.3,1.2,-5.6,-16.2,-26.3,-31,-18.04166667,2.25,3,215
BC03,75.25,-112.083,-18.7,0.5,9,-33.8,-35.5,-33.5,-26,-12.7,-1.3,3.1,1,-5.7,-16.4,-26.5,-31.1,-18.2,2.05,2,222
BY10,72.917,-79.583,-15.8,2.7,18.9,-31.5,-33.6,-30.5,-22.5,-10,0.7,5.1,3.5,-2.8,-13.6,-23.5,-28.6,-15.60833333,4.3,0.5,163
BY15,72.917,-79.75,-15.2,3.2,17.5,-31.1,-33.2,-30.2,-22.1,-9.7,1,5.4,3.8,-2.5,-13.3,-23.1,-28.2,-15.26666667,4.6,3.8,195
BY17,72.917,-79.583,-15.8,2.7,18.9,-31.5,-33.6,-30.5,-22.5,-10,0.7,5.1,3.5,-2.8,-13.6,-23.5,-28.6,-15.60833333,4.3,3.05,198
BY18,72.917,-79.75,-15.2,3.2,17.5,-31.1,-33.2,-30.2,-22.1,-9.7,1,5.4,3.8,-2.5,-13.3,-23.1,-28.2,-15.26666667,4.6,1.9,110
CI01,72.75,-93.917,-16.1,2.8,13.9,-33.2,-33.7,-31.9,-23,-10.7,-0.1,5,3.3,-3.9,-14.3,-24.1,-29.2,-16.31666667,4.15,5,190
CI07,76.417,-98.083,-18.4,0.8,11.3,-33.8,-35.2,-33.3,-25.5,-12.1,-1.2,3.3,1,-6.9,-17.5,-26.7,-31.2,-18.25833333,2.15,4,76
CI08,76.417,-98.083,-18.4,0.8,11.3,-33.8,-35.2,-33.3,-25.5,-12.1,-1.2,3.3,1,-6.9,-17.5,-26.7,-31.2,-18.25833333,2.15,1,76
CI14,76.583,-98.917,-18.2,1.3,10.3,-33.7,-35.1,-33.2,-25.3,-11.8,-0.9,3.6,1.3,-6.7,-17.4,-26.6,-31.2,-18.08333333,2.45,3.5,46
CI15,76.583,-98.917,-18.2,1.3,10.3,-33.7,-35.1,-33.2,-25.3,-11.8,-0.9,3.6,1.3,-6.7,-17.4,-26.6,-31.2,-18.08333333,2.45,5.5,46
CI16,75.917,-99.25,-18.4,0.8,11,-33.9,-35.3,-33.3,-25.5,-12.1,-1.3,3.2,1,-6.7,-17.3,-26.7,-31.3,-18.26666667,2.1,8,170
CI17,75.583,-98.25,-18,1,11.7,-33.6,-34.9,-32.9,-25.1,-11.9,-1.2,3.5,1.2,-6.3,-16.8,-26.2,-30.9,-17.925,2.35,9.5,130
CI18,75.583,-99.583,-18.3,0.9,11,-33.7,-35,-32.9,-25.1,-11.8,-1,3.6,1.4,-6.2,-16.8,-26.3,-31,-17.9,2.5,3,30
CI22,75.417,-99.583,-18.3,0.8,11,-33.7,-35.1,-33,-25.2,-11.9,-1.1,3.5,1.3,-6.3,-16.8,-26.3,-31.1,-17.975,2.4,6,150
CI23,75.417,-99.917,-17.8,1.5,10.1,-33.6,-34.9,-32.8,-25,-11.7,-0.8,3.7,1.5,-6,-16.6,-26.1,-30.9,-17.76666667,2.6,4,30
CI25,74.75,-94.25,-16.6,1.9,13.5,-32.7,-33.6,-31.9,-24,-11.3,-0.8,3.9,1.8,-5.4,-15.8,-24.9,-29.5,-17.01666667,2.85,17,15
CI26b,74.917,-93.583,-17.1,1.5,14.6,-33,-33.9,-32.3,-24.2,-11.4,-0.8,3.9,1.8,-5.6,-16.2,-25.3,-29.8,-17.23333333,2.85,8,200
CI27,75.25,-93.583,-16.6,2.2,12.8,-32.9,-33.8,-32.3,-24.2,-11.3,-0.6,4.1,2,-5.6,-16.2,-25.3,-29.8,-17.15833333,3.05,6,120
CI31,79.917,-84.583,-19.8,2.5,8.8,-36.7,-38.5,-37.4,-28.3,-11.7,1,4.7,2.2,-8.6,-22.3,-31.9,-34.5,-20.16666667,3.45,1.4,211
CI32,68.583,-70.4641,-12.7,3.1,25.9,-27,-27.9,-26.9,-19,-9.1,-0.2,5.3,3.8,-2.3,-9.9,-17.9,-24.2,-12.94166667,4.55,4.5,20
CI33,70.417,-68.417,-12.2,2.9,21.8,-27,-28.1,-26.7,-19,-8.3,0.4,4.1,3.7,-0.5,-7.5,-17.3,-24.1,-12.525,3.9,2,18
Coal,70.417,-68.583,-12.6,2.7,22.7,-27.3,-28.4,-27,-19.3,-8.5,0.2,4,3.6,-0.7,-7.8,-17.6,-24.4,-12.76666667,3.8,12.3,9
CR01,73.917,-94.917,-16.9,1.5,14.9,-32.8,-33.6,-31.9,-23.8,-11.3,-0.9,4,2,-5,-15.2,-24.6,-29.5,-16.88333333,3,2.1,130
CR02,72.583,-95.083,-16.1,2.7,13.5,-33.4,-34,-32.1,-23.3,-11,-0.4,4.8,3,-4,-14.3,-24.2,-29.5,-16.53333333,3.9,5.5,170
CR04,72.417,-95.083,-16.4,2.5,13.7,-33.5,-34,-32,-23.2,-10.8,-0.3,5,3.2,-3.7,-14.1,-24.1,-29.5,-16.41666667,4.1,4,240
CV01,79.917,-82.917,-20,1.7,10.6,-37.3,-39.3,-38,-29.1,-12.9,-0.3,3.5,1,-9.3,-22.8,-32.3,-35.2,-21,2.25,7.61,350
CV02,79.917,-82.917,-20,1.7,10.6,-37.3,-39.3,-38,-29.1,-12.9,-0.3,3.5,1,-9.3,-22.8,-32.3,-35.2,-21,2.25,3.2,350
CV03,79.917,-82.917,-20,1.7,10.6,-37.3,-39.3,-38,-29.1,-12.9,-0.3,3.5,1,-9.3,-22.8,-32.3,-35.2,-21,2.25,3.9,350
CV04,79.917,-82.917,-20,1.7,10.6,-37.3,-39.3,-38,-29.1,-12.9,-0.3,3.5,1,-9.3,-22.8,-32.3,-35.2,-21,2.25,3.77,350
DUO,73.583,-98.417,-17.3,1.6,11.7,-33.6,-34.6,-32.4,-24.4,-11.5,-0.9,4.1,2,-4.9,-15.3,-25.3,-30.4,-17.26666667,3.05,0.3,23
DV02,74.917,-88.75,-16.5,3,12.3,-33,-33.6,-32.4,-23.6,-10.6,0.5,4.8,2.7,-5.2,-16.5,-25.6,-29.8,-16.85833333,3.75,7.5,134
DV04,74.75,-88.25,-16.7,2.7,13.7,-32.9,-33.5,-32.3,-23.5,-10.6,0.5,4.7,2.7,-5.2,-16.5,-25.5,-29.7,-16.81666667,3.7,5.3,196
DV05,75.583,-92.083,-16.4,3,11.4,-33.1,-33.9,-32.5,-24.1,-10.8,0.1,4.6,2.6,-5.4,-16.4,-25.6,-29.9,-17.03333333,3.6,10,64
DV08,75.417,-89.417,-17.1,2.6,12.4,-33.5,-34.2,-33,-24.3,-10.9,0.2,4.5,2.4,-5.7,-17.1,-26.2,-30.3,-17.34166667,3.45,3,145
DV09,75.583,-89.25,-16.4,3.2,10.8,-33.2,-33.9,-32.7,-23.9,-10.5,0.7,5,2.9,-5.4,-16.9,-26,-30,-16.99166667,3.95,4,1
E501,79.25,-82.583,-21.6,0,16.9,-37.7,-39.9,-38.4,-29.7,-13.9,-1.6,2.3,-0.3,-10.2,-23.3,-32.8,-35.7,-21.76666667,1,34,855
E503,79.917,-82.917,-20,1.7,10.6,-37.3,-39.3,-38,-29.1,-12.9,-0.3,3.5,1,-9.3,-22.8,-32.3,-35.2,-21,2.25,3.5,306
E504,79.917,-82.917,-20,1.7,10.6,-37.3,-39.3,-38,-29.1,-12.9,-0.3,3.5,1,-9.3,-22.8,-32.3,-35.2,-21,2.25,8.1,306
E505,79.917,-82.917,-20,1.7,10.6,-37.3,-39.3,-38,-29.1,-12.9,-0.3,3.5,1,-9.3,-22.8,-32.3,-35.2,-21,2.25,2.5,229
E506,80.583,-84.417,-21.2,1.3,10.7,-38.8,-40.8,-39.7,-30.6,-13.7,-1,2.7,0.1,-10.9,-24.7,-34.3,-36.8,-22.375,1.4,14,520
E508,80.75,-84.083,-20.1,2.3,8.2,-37.8,-39.8,-38.6,-29.5,-12.7,0.2,3.9,1.3,-9.6,-23.4,-33.1,-35.8,-21.24166667,2.6,2.6,170
E510,80.75,-84.75,-21,1.6,9.3,-38.5,-40.4,-39.3,-30.2,-13.2,-0.3,3.3,0.7,-10.4,-24.3,-34,-36.5,-21.925,2,9,290
E511,79.583,-87.917,-22.2,0.1,14.6,-37.8,-39.5,-38.5,-29.6,-13.3,-1,2.7,0.2,-10.4,-23.6,-33,-35.6,-21.61666667,1.45,11,635
E515,79.583,-87.75,-20.5,1.7,10.2,-37.3,-38.9,-37.9,-28.8,-12.6,-0.2,3.5,1,-9.5,-22.8,-32.3,-35,-20.9,2.25,12,205
E516,79.75,-87.583,-19.8,2.4,8.3,-36.7,-38.2,-37.2,-28.2,-11.8,0.7,4.4,2,-8.7,-22.1,-31.6,-34.3,-20.14166667,3.2,3,270
HW01,80.083,-83.417,-19,2.8,7.7,-36.2,-38.1,-36.8,-27.8,-11.5,1.2,5,2.6,-7.9,-21.5,-31.2,-34,-19.68333333,3.8,3.7,91
HW02,79.75,-83.417,-20,1.8,10.6,-37,-39.1,-37.7,-28.8,-12.6,-0.1,3.7,1.2,-9.2,-22.6,-32.1,-35,-20.775,2.45,4.5,396
HW03,79.75,-85.75,-22.9,-0.2,16,-39.1,-40.9,-39.9,-30.9,-14.1,-1.6,2,-0.7,-11.6,-25.2,-34.6,-37.1,-22.80833333,0.65,13,137
HW05,80.25,-87.75,-19.8,2.5,7.7,-36.8,-38.4,-37.4,-28.3,-11.7,0.9,4.6,2.1,-8.7,-22.3,-31.8,-34.5,-20.19166667,3.35,3.7,91
HW07,79.75,-83.583,-19.7,2.1,9.8,-36.7,-38.7,-37.4,-28.4,-12.2,0.4,4.1,1.6,-8.8,-22.3,-31.8,-34.6,-20.4,2.85,6,366
HW08,79.75,-83.417,-20,1.8,10.6,-37,-39.1,-37.7,-28.8,-12.6,-0.1,3.7,1.2,-9.2,-22.6,-32.1,-35,-20.775,2.45,8.5,375
IQ01,63.75,-68.583,-9.9,5.3,41.7,-27.1,-28.3,-25,-16,-5.4,2.4,6.7,5.8,1.2,-5.8,-13.6,-23.1,-10.68333333,6.25,4,175
IQ02,63.75,-68.583,-9.9,5.3,41.7,-27.1,-28.3,-25,-16,-5.4,2.4,6.7,5.8,1.2,-5.8,-13.6,-23.1,-10.68333333,6.25,1.5,159
IQ03,63.75,-68.583,-9.9,5.3,41.7,-27.1,-28.3,-25,-16,-5.4,2.4,6.7,5.8,1.2,-5.8,-13.6,-23.1,-10.68333333,6.25,3,155
IQ04,63.75,-68.417,-10.4,4.8,44,-26.7,-27.8,-24.6,-15.8,-5.2,2.3,6.7,5.8,1.2,-5.8,-13.5,-22.9,-10.525,6.25,9,158
