Location,Depth in Sed (cm),age,Acamptocladius,Abiskomyia,Ablabesmyia type,Brilla,Chaetocladius,Chironominae early instar,Chironomus,Cladopelma,Cladotanytarsus mancus,Clinotanypus,Corynocera ambigua,Corynocera oliveri type,Constempellina Thienemanniola,Corynoneura Thienemanniella,Cricotopus Orthocladius,Cryptochironomus,Cryptotendipes,Demicryptochironomus,Derotanypus,Diamesa,Dicrotendipes,Diplocladius Trissocladius,Doithrix,Einfeldia,Endochironomus,Eukiefferiella,Geoorthocladius,Glyptotendipes,Guttipelopia,Heterotanytarsus,Heterotrissocladius,Hudsonimyia type,Hydrobaenus Oliveridia,Hyporhygma quadripunctatum,Labrundinia,Lasiodiamesa,Limnophyes / Paralimnophyes,Lauterborniella,Macropelopia,Macropelopini undiff,Mesocricotopus,Metriocnemus,Microchironomus,Micropsectra,Microtendipes,Monodiamesa,Nanocladius,Neostempellina,Nilothauma,Pagastiella,Parochlus,Parachaetocladius,Paramerina,Parachironomus,Paracladius,Paracladopelma,Paralauterborniella,Paracricotopus,Parakiefferiella nigra,Parakiefferiella sp B,Parakiefferiella triquetra,Parakiefferiella type A,Paraphaenocladius Parametriocnemus,Paratanytarsus,Paratendipes,Pentaneurini undiff,Phaenopscetra,Polypedilum,Procladius,Prosilocerus-type N,Protanypus,Prodiamesa,Psectrocladius (Mono) calcaratus,Psectrocladius allopsectrocladius,Psectrocladius septentrionalis-type,Psectrocladius meso barbatipes,Psectrocladius nr. Barmimanus,Psectrocladius barmimanus,Psectrocladius sordidellus-type,Psectrocladius psilopterus,Psectrocladius undiff.,Pseudochironomus,Pseudodiamesa,Psilometricnemus,Pseudorthocladius,Pseudosmittia,Rheocricotopus,Rheotanytarsus,Sergentia coracina-type,Smittia type,Stempellina,Stempellinella ,Stenochironomus,Stictochironomus,Stilocladius,Symposiocladius,Synorthcladius,Tanypus,Tanytarsus chinyensis-type,Tanytarsus gracilentus,Tanytarsus lactescens-type,Tanytarsus mendax type,Tanytarsus glabrescens-type,Tanytarsus pallidicornis type,Tanytarsus nemorosus,Thienemannimyia type,Tribelos ,Trichotanypus,Tvetenia,Xenochironomus,Zalutschia lingulata pauca,Zalutschia sp. C,Zalutschia unknown,Zalutschia zalutschicola,Zavreliella,Zavrelimyia type,Chaoborus trivitattus,Chaoborus Sayomyia,Chaoborus undiff,Chaoborus flavicans,No ID,Tanypodinae undif.,Tanytarsini no spur,Tanytarsini undiff
0.5,0.01,-57,0,0,1,0,0,0,4,0,0,0,0,19,0,2,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0.5,0,0,0,0,0,0,0,0,0,0,31.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,5,0,0,0,1.5,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,2.5,2,5
0.75,0.02,-56.5,0,0,1,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6
1,0.38,-56,0,0,0,0,0,0,4,0,0,0,0,16,0,2,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,29.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,7
2,0.88,-51,0,0,0,0,0,0,5,0,0,0,0,27,0,4,2,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.5,0,0,0,0,0,0,0,0,0,11.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5,2,10
3,1.88,-42,0,0,0,0,0,0,6,0,0,0,0,25,0,0,2.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,17.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,7
4,2.38,-38,0,0,1,0,0,2,2.5,0,0,0,0,11,0,2,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5,0,4
5,3.25,-28,0,0,0,0,0,0,3.5,0,0,0,0,7,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,27.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,1,4
6,5.25,-7,0,0,0,0,0,0,2.5,0,0,0,0,21,0,2,2.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6
7,0.5,0,0,0,0,0,0,0,4.5,0,0,0,0,14,0,4,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,1
8,7.75,25,0,0,0,0,0,0,1.5,0,0,0,0,13,0,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,21.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,3
